year,date,a_pagar_vencido,avg_pagarv,a_pagar_para_liquidar,saldo_final,cuentas_carterav,cuentas_total,pctg_cuentas_carterav,pctg_liquidar_sfinal,pctg_vencido_sfinal,avg_pagosv,median_pagosv,mode_pagosv,sd_pagosv,cv_pagosv,avg_meses_atraso,median_meses_atraso,mode_meses_atraso,sd_meses_atraso,cv_meses_atraso,pagos_cap,avg_pagos_cap,sd_pagos_cap,cv_pagos_cap,pagos_seguro,pagos_capital_seguro,pagos_recibidos,avg_pagos_rec,ministracion,avg_minist,sd_minist,cv_minist,diff_pagosrec_minist
,May-20," $13,210,201.31 "," $39,909.97 "," $44,873,005.63 "," $1,137,468,741.11 ",331,6950,4.76%,3.94%,1.16%,6.3051,2.0000,1.0000,10.6286,168.5706,21.7039,5,1,44,201.8887," $11,778,892.48 "," $1,710.56 "," $10,327.26 ",603.7367," $66,665.83 "," $11,125,117.58 "," $14,054,620.71 "," $10,836.25 "," $4,706,971.00 ", $683.56 ," $8,709.77 ",1274.1840," $9,347,649.71 "
,Jun-20," $14,662,438.51 "," $34,820.60 "," $73,081,528.08 "," $1,126,049,847.58 ",472,6843,6.90%,6.49%,1.30%,4.7203,1.0000,1.0000,9.2993,197.0048,15.7839,2,1,38,241.5631," $17,653,830.98 "," $2,579.84 "," $11,374.10 ",440.8843," $106,890.84 "," $16,424,835.35 "," $21,196,896.40 "," $9,905.09 "," $6,106,458.00 ", $892.37 ," $7,697.69 ",862.6164," $15,090,438.40 "
,Jul-20," $15,270,000.61 "," $33,394.11 "," $81,566,763.82 "," $1,115,911,608.92 ",565,6774,8.34%,7.31%,1.37%,4.2531,1.0000,1.0000,8.7112,204.8196,13.7876,2,1,35,256.7912," $15,780,192.53 "," $2,329.52 "," $10,329.71 ",443.4259," $84,481.55 "," $14,515,068.76 "," $18,280,430.28 "," $9,929.62 "," $5,607,256.00 ", $827.76 ," $6,538.11 ",789.8543," $12,673,174.28 "
,Aug-20," $14,902,588.61 "," $33,865.18 "," $73,974,390.84 "," $1,108,630,452.04 ",508,6715,7.57%,6.67%,1.34%,4.6654,1.0000,1.0000,9.1455,196.0299,15.7421,3,2,37,235.4874," $12,901,263.05 "," $1,921.26 "," $10,357.56 ",539.1025," $72,506.37 "," $11,525,715.50 "," $15,065,855.92 "," $10,862.19 "," $5,360,591.00 ", $798.30 ," $8,865.75 ",1110.5770," $9,705,264.92 "
,Sep-20," $17,296,462.85 "," $30,614.62 "," $106,700,306.71 "," $1,104,700,076.53 ",764,6719,11.37%,9.66%,1.57%,3.5321,1.0000,1.0000,7.6930,217.8016,11.2215,3,1,31,277.9972," $19,058,305.37 "," $2,836.48 "," $14,257.83 ",502.6593," $102,228.31 "," $16,638,873.00 "," $21,757,383.20 "," $11,585.40 "," $15,074,897.00 "," $2,243.62 "," $15,826.97 ",705.4205," $6,682,486.20 "
,Oct-20," $14,773,104.32 "," $36,118.35 "," $65,470,579.86 "," $1,127,615,539.89 ",444,6845,6.49%,5.81%,1.31%,5.4077,2.0000,1.0000,9.8474,182.1009,18.2005,4,1,40,218.6307," $16,725,905.74 "," $2,443.52 "," $10,389.35 ",425.1796," $106,875.69 "," $15,347,395.83 "," $18,936,087.62 "," $8,650.57 "," $39,281,925.00 "," $5,738.78 "," $29,233.61 ",509.4049," $(20,345,837.38)"
,Nov-20," $14,318,389.78 "," $37,535.47 "," $58,932,111.30 "," $1,128,200,128.39 ",383,6867,5.58%,5.22%,1.27%,6.1436,2.0000,1.0000,10.5200,171.2357,21.2376,5,2,42,199.8635," $12,955,345.55 "," $1,886.61 "," $11,148.88 ",590.9479," $75,113.46 "," $11,181,049.69 "," $14,546,665.84 "," $10,995.21 "," $13,426,613.00 "," $1,955.24 "," $18,062.35 ",923.7934," $1,120,052.84 "
,Dec-20," $13,668,582.76 "," $38,394.90 "," $54,801,874.63 "," $1,122,752,384.34 ",356,6889,5.17%,4.88%,1.22%,6.1545,2.0000,1.0000,10.6006,172.2412,21.0478,6,1,42,197.2853," $20,354,249.88 "," $2,954.60 "," $12,547.64 ",424.6813," $131,126.60 "," $17,904,973.98 "," $22,482,673.41 "," $9,830.64 "," $14,873,822.00 "," $2,159.07 "," $17,676.00 ",818.6864," $7,608,851.41 "
2021,Jan-21," $13,877,083.52 "," $36,331.48 "," $59,352,109.23 "," $1,118,057,818.54 ",386,6858,5.63%,5.31%,1.24%,5.9145,2.0000,1.0000,10.3858,175.5995,19.5855,4,1,40,205.6843," $16,740,968.97 "," $2,441.09 "," $11,210.75 ",459.2525," $96,147.24 "," $14,007,403.67 "," $19,006,698.57 "," $9,961.58 "," $11,985,664.00 "," $1,747.69 "," $13,861.40 ",793.1262," $7,021,034.57 "
,Feb-21," $13,217,941.18 "," $41,565.85 "," $44,517,002.22 "," $1,111,993,349.71 ",318,6827,4.66%,4.00%,1.19%,6.9686,2.0000,1.0000,11.2975,162.1216,23.6164,6,1,44,184.6300," $13,036,818.11 "," $1,909.60 "," $10,491.50 ",549.4093," $76,810.43 "," $11,113,718.17 "," $14,398,059.02 "," $10,833.75 "," $6,732,321.00 ", $986.13 ," $11,814.85 ",1198.1010," $7,665,738.02 "
,Mar-21," $13,247,163.03 "," $44,603.24 "," $40,855,609.97 "," $1,106,045,627.65 ",297,6788,4.38%,3.69%,1.20%,7.3502,2.0000,1.0000,11.6763,158.8572,25.4579,7,1,45,176.8162," $19,972,495.28 "," $2,942.32 "," $12,367.17 ",420.3199," $127,055.91 "," $18,199,081.65 "," $22,686,957.07 "," $9,872.48 "," $13,978,159.00 "," $2,059.25 "," $15,392.82 ",747.4980," $8,708,798.07 "
,Apr-21," $13,255,596.46 "," $46,026.38 "," $40,459,527.03 "," $1,105,591,879.45 ",288,6702,4.30%,3.66%,1.20%,7.6667,2.0000,1.0000,11.9649,156.0644,26.2569,7,1,46,174.3002," $15,286,902.51 "," $2,280.95 "," $11,170.11 ",489.7139," $94,338.52 "," $13,488,341.63 "," $17,290,533.00 "," $9,071.63 "," $14,697,711.00 "," $2,193.03 "," $14,607.30 ",666.0774," $2,592,822.00 "
,May-21," $13,095,816.53 "," $53,019.50 "," $35,589,614.42 "," $1,100,405,193.75 ",247,6662,3.71%,3.23%,1.19%,8.9433,3.0000,1.0000,12.6755,141.7317,30.8300,11,1,48,156.9286," $12,762,780.71 "," $1,915.76 "," $10,235.04 ",534.2553," $70,078.09 "," $11,593,933.78 "," $14,228,730.76 "," $10,236.50 "," $7,541,310.00 "," $1,131.99 "," $12,693.21 ",1121.3196," $6,687,420.76 "
,Jun-21," $13,016,559.88 "," $50,256.99 "," $36,442,154.20 "," $1,088,728,287.59 ",259,6609,3.92%,3.35%,1.20%,8.4015,3.0000,1.0000,12.6183,150.1900,28.7954,10,1,48,164.9914," $18,347,140.96 "," $2,776.08 "," $10,931.07 ",393.7587," $121,121.26 "," $16,525,396.44 "," $20,889,577.48 "," $9,380.14 "," $6,637,694.00 "," $1,004.34 "," $10,935.40 ",1088.8132," $14,251,883.48 "
,Jul-21," $13,182,076.11 "," $46,744.95 "," $37,508,380.94 "," $1,082,822,101.77 ",282,6565,4.30%,3.46%,1.22%,7.9043,3.0000,1.0000,12.3860,156.7003,26.8191,8,1,46,172.7045," $13,846,631.27 "," $2,109.16 "," $9,091.48 ",431.0476," $90,305.35 "," $12,652,949.63 "," $15,782,902.89 "," $8,444.57 "," $7,868,208.00 "," $1,198.51 "," $10,957.19 ",914.2354," $7,914,694.89 "
,Aug-21," $12,930,973.99 "," $49,926.54 "," $35,735,336.26 "," $1,075,832,996.76 ",259,6540,3.96%,3.32%,1.20%,8.4865,3.0000,1.0000,12.8298,151.1798,29.0193,9,2,48,164.0920," $13,329,521.34 "," $2,038.15 "," $11,455.24 ",562.0401," $74,484.00 "," $10,773,243.10 "," $14,751,115.25 "," $10,704.73 "," $6,159,886.00 ", $941.88 ," $11,998.87 ",1273.9296," $8,591,229.25 "
,Sep-21," $13,417,689.70 "," $44,725.63 "," $42,960,800.91 "," $1,093,536,044.64 ",300,6679,4.49%,3.93%,1.23%,7.3867,2.0000,1.0000,12.2919,166.4064,25.2567,6,1,45,178.7683," $18,017,893.09 "," $2,697.69 "," $10,663.16 ",395.2695," $121,582.16 "," $16,214,263.01 "," $20,593,075.56 "," $9,059.87 "," $35,667,776.00 "," $5,340.29 "," $29,597.49 ",554.2303," $(15,074,700.44)"
,Oct-21," $13,407,746.33 "," $44,992.44 "," $40,310,810.16 "," $1,108,876,639.25 ",298,6773,4.40%,3.64%,1.21%,7.5705,2.0000,1.0000,12.4729,164.7576,25.5201,5,1,46,178.6494," $14,116,102.74 "," $2,084.17 "," $8,090.80 ",388.2018," $101,083.71 "," $12,534,278.59 "," $16,175,289.35 "," $7,991.74 "," $29,402,167.00 "," $4,341.08 "," $25,578.22 ",589.2125," $(13,226,877.65)"
,Nov-21," $12,899,560.52 "," $50,388.91 "," $35,898,974.19 "," $1,150,060,143.96 ",256,6950,3.68%,3.12%,1.12%,8.6953,3.0000,1.0000,13.2580,152.4729,29.6289,11,1,48,162.3959," $12,473,569.20 "," $1,794.76 "," $9,395.62 ",523.5036," $83,208.16 "," $10,715,425.37 "," $14,214,300.92 "," $9,988.97 "," $53,656,808.00 "," $7,720.40 "," $46,799.12 ",606.1745," $(39,442,507.08)"
,Dec-21," $12,863,621.68 "," $47,292.73 "," $39,380,901.33 "," $1,162,106,797.09 ",272,7013,3.88%,3.39%,1.11%,7.9154,2.0000,1.0000,13.0304,164.6197,26.5699,6,1,47,176.5531," $19,785,906.73 "," $2,821.32 "," $10,468.33 ",371.0439," $130,590.20 "," $16,836,650.35 "," $21,894,431.66 "," $9,478.11 "," $31,620,011.00 "," $4,508.77 "," $34,035.41 ",754.8711," $(9,725,579.34)"
2022,Jan-22," $12,958,092.40 "," $48,171.35 "," $38,813,998.38 "," $1,159,101,363.02 ",269,6964,3.86%,3.35%,1.12%,8.2714,2.0000,1.0000,13.1911,159.4786,27.2565,7,1,47,173.8290," $15,196,100.06 "," $2,182.09 "," $9,141.12 ",418.9150," $103,663.59 "," $13,706,921.28 "," $17,283,331.76 "," $8,539.20 "," $12,087,700.00 "," $1,735.74 "," $16,551.55 ",953.5723," $5,195,631.76 "
,Feb-22," $12,716,849.01 "," $51,485.22 "," $34,829,918.87 "," $1,161,873,386.56 ",247,6922,3.57%,3.00%,1.09%,8.9960,3.0000,1.0000,13.6739,152.0007,29.8502,10,2,49,163.3512," $12,574,206.20 "," $1,816.56 "," $11,591.61 ",638.1090," $64,540.99 "," $10,078,873.51 "," $14,288,513.79 "," $11,128.13 "," $15,262,879.00 "," $2,204.98 "," $18,308.96 ",830.3456," $(974,365.21)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
